,id,name,category,brand,image,price
0,15970,Turtle Check Men Navy Blue Shirt,Apparel,Turtle,15970.jpg,1703
1,39386,Peter England Men Party Blue Jeans,Apparel,Peter,39386.jpg,573
2,59263,Titan Women Silver Watch,Accessories,Titan,59263.jpg,2122
3,21379,Manchester United Men Solid Black Track Pants,Apparel,Manchester,21379.jpg,1655
4,53759,Puma Men Grey T-shirt,Apparel,Puma,53759.jpg,880
5,1855,Inkfruit Mens Chain Reaction T-shirt,Apparel,Inkfruit,1855.jpg,1082
6,30805,Fabindia Men Striped Green Shirt,Apparel,Fabindia,30805.jpg,1184
7,26960,Jealous 21 Women Purple Shirt,Apparel,Jealous,26960.jpg,939
8,29114,Puma Men Pack of 3 Socks,Accessories,Puma,29114.jpg,1267
9,30039,Skagen Men Black Watch,Accessories,Skagen,30039.jpg,1103
10,9204,Puma Men Future Cat Remix SF Black Casual Shoes,Footwear,Puma,9204.jpg,2187
11,48123,Fossil Women Black Huarache Weave Belt,Accessories,Fossil,48123.jpg,2262
12,18653,Fila Men Cush Flex Black Slippers,Footwear,Fila,18653.jpg,1343
13,47957,Murcia Women Blue Handbag,Accessories,Murcia,47957.jpg,685
14,46885,Ben 10 Boys Navy Blue Slippers,Footwear,Ben,46885.jpg,2114
15,12369,Reid & Taylor Men Check Purple Shirts,Apparel,Reid,12369.jpg,1190
16,29928,Police Men Black Dial Watch PL12889JVSB,Accessories,Police,29928.jpg,2097
17,42419,Gini and Jony Girls Knit White Top,Apparel,Gini,42419.jpg,1845
18,51832,Bwitch Beige Full-Coverage Bra BW335,Apparel,Bwitch,51832.jpg,1383
19,47359,Baggit Women Brown Handbag,Accessories,Baggit,47359.jpg,870
20,17429,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,Accessories,CASIO,17429.jpg,1455
21,12967,ADIDAS Men Spry M Black Sandals,Footwear,ADIDAS,12967.jpg,1834
22,6842,Timberland Unisex Rubber Sole Brush Shoe Accessories,Accessories,Timberland,6842.jpg,2282
23,13089,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,Apparel,ADIDAS,13089.jpg,592
24,18461,David Beckham Signature Men Deos,Personal Care,David,18461.jpg,2409
25,9036,Buckaroo Men Flores Black Formal Shoes,Footwear,Buckaroo,9036.jpg,1027
26,48311,Pitaraa Women Bronze Beaded Bracelet,Accessories,Pitaraa,48311.jpg,1629
27,7990,Fila Men's Round Neck Navy Blue T-shirt,Apparel,Fila,7990.jpg,819
28,56019,Colorbar Soft Touch Show Stopper Copper Lipstick 037,Personal Care,Colorbar,56019.jpg,1516
29,21977,Murcia Women Casual Brown Handbag,Accessories,Murcia,21977.jpg,1747
30,37812,John Players Men Navy Blue Shirt,Apparel,John,37812.jpg,1182
31,4729,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,Apparel,Disney,4729.jpg,2086
32,56825,John Players Men Brown Shirt,Apparel,John,56825.jpg,1877
33,39988,Gas Men Europa White Shoes,Footwear,Gas,39988.jpg,1963
34,59051,Carlton London Women Black & Gold Toned Flats,Footwear,Carlton,59051.jpg,1416
35,20099,Diva Women Embroided Green Kurta,Apparel,Diva,20099.jpg,526
36,58183,Rocky S Women White Handbag,Accessories,Rocky,58183.jpg,1703
37,29742,Kiara Women Teal Handbag,Accessories,Kiara,29742.jpg,1832
38,51658,Fossil Women Copper Chronograph Watch CH2589,Accessories,Fossil,51658.jpg,2486
39,3954,Jealous 21 Women's Pink T-shirt,Apparel,Jealous,3954.jpg,2398
40,18839,Peter England Men Formal Black Belt,Accessories,Peter,18839.jpg,1706
41,2886,Catwalk Women Leather Brown Flats,Footwear,Catwalk,2886.jpg,1284
42,23278,Maxima Ssteele Men Off White Watch,Accessories,Maxima,23278.jpg,2364
43,28690,W Women Printed Beige Kurta,Apparel,W,28690.jpg,978
44,8580,Scullers Men  Grey Waistcoat,Apparel,Scullers,8580.jpg,568
45,3168,Nike Men's Incinerate MSL White Blue Shoe,Footwear,Nike,3168.jpg,587
46,18005,Puma Men Long Logo Black Bermuda,Apparel,Puma,18005.jpg,940
47,17871,Levis Men Boxer Maroon Brief,Apparel,Levis,17871.jpg,744
48,9452,John Miller Men Stripes White Red Shirts,Apparel,John,9452.jpg,2063
49,38402,Baggit Women Hood Dabang Black Belt,Accessories,Baggit,38402.jpg,1898
50,44984,Maxima Women White Dial Watch,Accessories,Maxima,44984.jpg,973
51,10268,Clarks Men Hang Work Leather Black Formal Shoes,Footwear,Clarks,10268.jpg,1853
52,45856,Vishudh Women Brown Kurta,Apparel,Vishudh,45856.jpg,950
53,32138,Playboy Men Blue Titanium Briefs,Apparel,Playboy,32138.jpg,2489
54,59435,Arrow Men Black Formal Shoes,Footwear,Arrow,59435.jpg,2389
55,5891,Puma Men's Stripe Polo Black T-shirt,Apparel,Puma,5891.jpg,2392
56,38630,Nike Women Purple Polo T-shirt,Apparel,Nike,38630.jpg,649
57,4943,Gini and Jony Boy's Kaleb White Brown Kidswear,Apparel,Gini,4943.jpg,1417
58,11188,Carrera Men Dial steel finish strap Silver Watches,Accessories,Carrera,11188.jpg,736
59,10866,Wrangler Men Motor Rider Red T-Shirts,Apparel,Wrangler,10866.jpg,684
60,59607,FNF Pink & Grey Wedding Collection Sari,Apparel,FNF,59607.jpg,1316
61,15528,Puma Men Scribble Black Tshirts,Apparel,Puma,15528.jpg,2106
62,45258,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,Accessories,CASIO,45258.jpg,2434
63,42841,French Connection Women Beige Handbag,Accessories,French,42841.jpg,1342
64,22198,Timberland Men Black Casual Shoes,Footwear,Timberland,22198.jpg,2480
65,29570,Vans Men Classic Slip-On Purple & Black Shoes,Footwear,Vans,29570.jpg,1995
66,43993,Police Women Passion Perfume,Personal Care,Police,43993.jpg,816
67,6628,ADIDAS Men's Lowell White Silver Shoe,Footwear,ADIDAS,6628.jpg,1043
68,54924,Do U Speak Green Men Blue Shorts,Apparel,Do,54924.jpg,1506
69,26538,ID Men Red Shoes,Footwear,ID,26538.jpg,1823
70,35913,Peperone Women Black & White Handbag,Accessories,Peperone,35913.jpg,1379
71,49495,Vans Men Khaki Shoes,Footwear,Vans,49495.jpg,1848
72,9660,Indigo Nation Men Reversible Bling Pink Shirts,Apparel,Indigo,9660.jpg,1877
73,2288,Nike Women Black T-shirt,Apparel,Nike,2288.jpg,531
74,23876,ADIDAS Men Blue Sweatshirt,Apparel,ADIDAS,23876.jpg,2022
75,18237,Manchester United Men Solid Red Tshirt,Apparel,Manchester,18237.jpg,795
76,54118,Rocia Women Black Flats,Footwear,Rocia,54118.jpg,1363
77,2872,Catwalk Women Leather Flats,Footwear,Catwalk,2872.jpg,2377
78,49653,Mineral Women Green Top,Apparel,Mineral,49653.jpg,691
79,8574,Crocs Dora Boots Pink Sandals,Footwear,Crocs,8574.jpg,1149
80,16957,Image Men Sunglasses,Accessories,Image,16957.jpg,2352
81,19123,Lotto Men XL Water Man Silver Slippers,Footwear,Lotto,19123.jpg,2431
82,13419,United Colors of Benetton Men Solid Pink Polo T-shirts,Apparel,United,13419.jpg,1136
83,17885,Levis Men Comfort Style Grey Innerwear Vest,Apparel,Levis,17885.jpg,1390
84,43369,Reebok Men Black Possession Flip Flops,Footwear,Reebok,43369.jpg,2019
85,48781,Lucera Women Silver Pendant,Accessories,Lucera,48781.jpg,589
86,44970,Maxima Men White Dial Analog Chronograph Watch,Accessories,Maxima,44970.jpg,771
87,56489,Streetwear Ash Nail Polish # 31,Personal Care,Streetwear,56489.jpg,2308
88,39524,Peter England Unisex Orange Sleeve Bag,Accessories,Peter,39524.jpg,943
89,33822,Puma Men Axis White & Grey Sports Shoes,Footwear,Puma,33822.jpg,1088
90,58513,Tonga Women Maroon Top,Apparel,Tonga,58513.jpg,1508
91,25947,Femella Women Brown Scarf,Accessories,Femella,25947.jpg,2307
92,52029,Just Natural Unisex Charcoal Rain Jacket,Apparel,Just,52029.jpg,1941
93,5865,ADIDAS Men's Twelve Faster T-shirt,Apparel,ADIDAS,5865.jpg,1527
94,39716,Arrow Woman Women Blue Dress,Apparel,Arrow,39716.jpg,2388
95,25349,Levis Men Red Brief,Apparel,Levis,25349.jpg,2146
96,11940,Ganuchi Men Casual Black Sandals,Footwear,Ganuchi,11940.jpg,1528
97,55802,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,Apparel,SDL,55802.jpg,1781
98,29584,Indigo Nation Men Printed Black T-shirt,Apparel,Indigo,29584.jpg,2011
99,43967,DKNY Women Red Delicious Perfume,Personal Care,DKNY,43967.jpg,709
100,28456,Urban Yoga Women Blue Skirt With Leggings,Apparel,Urban,28456.jpg,799
101,34009,Gini and Jony Girls Black Top,Apparel,Gini,34009.jpg,898
102,19311,Nike Men Air Rift MTR White Casual Shoe,Footwear,Nike,19311.jpg,1593
103,42089,ADIDAS Men White Corona Sports Shoes,Footwear,ADIDAS,42089.jpg,1033
104,22950,Fastrack Unisex Black Dial Watch 9915PP13,Accessories,Fastrack,22950.jpg,891
105,49461,Vans Men Blue Era Scilla Plaid Shoes,Footwear,Vans,49461.jpg,1570
106,8746,Crocs Kids Navy Blue Clogs,Footwear,Crocs,8746.jpg,1638
107,9694,Classic Polo Men Vulcan White Polo Tshirts,Apparel,Classic,9694.jpg,568
108,23882,Fila Men Destiny Grey Sports Shoes,Footwear,Fila,23882.jpg,2295
109,34835,ADIDAS Men Blue Chill Sports Shoes,Footwear,ADIDAS,34835.jpg,2463
110,15984,Turtle Check Men Yellow Shirt,Apparel,Turtle,15984.jpg,970
111,41268,Arrow Men Black Wallet,Accessories,Arrow,41268.jpg,1527
112,11518,Catwalk Women Gun Metal Grey Heels,Footwear,Catwalk,11518.jpg,800
113,14856,United Colors of Benetton Women Solid Beige Wallets,Accessories,United,14856.jpg,1172
114,33648,Lotto Men Ridge Brown Sandals,Footwear,Lotto,33648.jpg,690
115,59297,U.S. Polo Assn. Men White & Navy Blue Shirt,Apparel,U.S.,59297.jpg,1749
116,28032,Jockey ELANCE Men Bikini White Brief 1005,Apparel,Jockey,28032.jpg,1808
117,27846,Scullers For Her Charcoal Blazer,Apparel,Scullers,27846.jpg,879
118,26994,Jealous 21 Women Black Jeans,Apparel,Jealous,26994.jpg,2283
119,49839,iPanema Women Red Flip Flops,Footwear,iPanema,49839.jpg,534
120,31923,Fabindia Women Blue Silk Sling Bag,Accessories,Fabindia,31923.jpg,1495
121,2618,Carlton London Women Silver Wedge Sandal,Footwear,Carlton,2618.jpg,1629
122,54588,Sushilas Women Printed Green Kurta,Apparel,Sushilas,54588.jpg,1932
123,49005,Lucera Women Silver Ring,Accessories,Lucera,49005.jpg,1192
124,8322,Doodle Boy's Route 66 Biker Blue Teen Kidswear,Apparel,Doodle,8322.jpg,2444
125,13841,ADIDAS Unisex Three Small Dials White Watches,Accessories,ADIDAS,13841.jpg,623
126,28200,Ray-Ban Men Active Lifestyle Copper Sunglasses,Accessories,Ray-Ban,28200.jpg,999
127,12993,ADIDAS Kids Adispeed Black Sports Shoes,Footwear,ADIDAS,12993.jpg,1804
128,7158,Scullers Men  Green Check Shirt,Apparel,Scullers,7158.jpg,1405
129,18495,Puma Men Fashion Cat White Slipper,Footwear,Puma,18495.jpg,867
130,8110,Fastrack Men Economy 2 Analg Black Watch,Accessories,Fastrack,8110.jpg,818
131,19547,United Colors of Benetton Men Solid Blue Sweatshirt,Apparel,United,19547.jpg,1732
132,7964,Puma Men's Large Logo Graphic Black T-shirt,Apparel,Puma,7964.jpg,2454
133,36934,Giorgio Armani Women Idole Perfume,Personal Care,Giorgio,36934.jpg,1292
134,39140,Aneri Women Black & Maroon Salwar Suit,Apparel,Aneri,39140.jpg,2120
135,20851,Spice Art Women Ribbon Embroidery Red Clutch,Accessories,Spice,20851.jpg,2390
136,41866,Estd. 1977 Men Beige & Green Sandals,Footwear,Estd.,41866.jpg,1591
137,58177,Rocky S Women Brown Handbag,Accessories,Rocky,58177.jpg,2325
138,44528,Coolers Men Black Sandals,Footwear,Coolers,44528.jpg,1208
139,16392,Levis Men Check Red Shirts,Apparel,Levis,16392.jpg,2425
