,id,name,brand,image,price
0,15970,Turtle Check Men Navy Blue Shirt,Turtle,15970.jpg,2500
1,39386,Peter England Men Party Blue Jeans,Peter,39386.jpg,1009
2,59263,Titan Women Silver Watch,Titan,59263.jpg,1102
3,21379,Manchester United Men Solid Black Track Pants,Manchester,21379.jpg,1301
4,53759,Puma Men Grey T-shirt,Puma,53759.jpg,2152
5,1855,Inkfruit Mens Chain Reaction T-shirt,Inkfruit,1855.jpg,1088
6,30805,Fabindia Men Striped Green Shirt,Fabindia,30805.jpg,1944
7,26960,Jealous 21 Women Purple Shirt,Jealous,26960.jpg,991
8,29114,Puma Men Pack of 3 Socks,Puma,29114.jpg,900
9,30039,Skagen Men Black Watch,Skagen,30039.jpg,2039
10,9204,Puma Men Future Cat Remix SF Black Casual Shoes,Puma,9204.jpg,838
11,48123,Fossil Women Black Huarache Weave Belt,Fossil,48123.jpg,1691
12,18653,Fila Men Cush Flex Black Slippers,Fila,18653.jpg,2107
13,47957,Murcia Women Blue Handbag,Murcia,47957.jpg,2101
14,46885,Ben 10 Boys Navy Blue Slippers,Ben,46885.jpg,819
15,12369,Reid & Taylor Men Check Purple Shirts,Reid,12369.jpg,542
16,29928,Police Men Black Dial Watch PL12889JVSB,Police,29928.jpg,1699
17,42419,Gini and Jony Girls Knit White Top,Gini,42419.jpg,1214
18,51832,Bwitch Beige Full-Coverage Bra BW335,Bwitch,51832.jpg,987
19,47359,Baggit Women Brown Handbag,Baggit,47359.jpg,2203
20,17429,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,CASIO,17429.jpg,1878
21,12967,ADIDAS Men Spry M Black Sandals,ADIDAS,12967.jpg,572
22,6842,Timberland Unisex Rubber Sole Brush Shoe Accessories,Timberland,6842.jpg,944
23,13089,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,ADIDAS,13089.jpg,1273
24,18461,David Beckham Signature Men Deos,David,18461.jpg,785
25,9036,Buckaroo Men Flores Black Formal Shoes,Buckaroo,9036.jpg,2458
26,48311,Pitaraa Women Bronze Beaded Bracelet,Pitaraa,48311.jpg,1714
27,7990,Fila Men's Round Neck Navy Blue T-shirt,Fila,7990.jpg,1897
28,56019,Colorbar Soft Touch Show Stopper Copper Lipstick 037,Colorbar,56019.jpg,1628
29,21977,Murcia Women Casual Brown Handbag,Murcia,21977.jpg,1429
30,37812,John Players Men Navy Blue Shirt,John,37812.jpg,2390
31,4729,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,Disney,4729.jpg,1411
32,56825,John Players Men Brown Shirt,John,56825.jpg,2263
33,39988,Gas Men Europa White Shoes,Gas,39988.jpg,1462
34,59051,Carlton London Women Black & Gold Toned Flats,Carlton,59051.jpg,981
35,20099,Diva Women Embroided Green Kurta,Diva,20099.jpg,1134
36,58183,Rocky S Women White Handbag,Rocky,58183.jpg,1993
37,29742,Kiara Women Teal Handbag,Kiara,29742.jpg,601
38,51658,Fossil Women Copper Chronograph Watch CH2589,Fossil,51658.jpg,1243
39,3954,Jealous 21 Women's Pink T-shirt,Jealous,3954.jpg,781
40,18839,Peter England Men Formal Black Belt,Peter,18839.jpg,1860
41,2886,Catwalk Women Leather Brown Flats,Catwalk,2886.jpg,636
42,23278,Maxima Ssteele Men Off White Watch,Maxima,23278.jpg,1141
43,28690,W Women Printed Beige Kurta,W,28690.jpg,2365
44,8580,Scullers Men  Grey Waistcoat,Scullers,8580.jpg,820
45,3168,Nike Men's Incinerate MSL White Blue Shoe,Nike,3168.jpg,669
46,18005,Puma Men Long Logo Black Bermuda,Puma,18005.jpg,1551
47,17871,Levis Men Boxer Maroon Brief,Levis,17871.jpg,1382
48,9452,John Miller Men Stripes White Red Shirts,John,9452.jpg,1566
49,38402,Baggit Women Hood Dabang Black Belt,Baggit,38402.jpg,1335
50,44984,Maxima Women White Dial Watch,Maxima,44984.jpg,1542
51,10268,Clarks Men Hang Work Leather Black Formal Shoes,Clarks,10268.jpg,2407
52,45856,Vishudh Women Brown Kurta,Vishudh,45856.jpg,1502
53,32138,Playboy Men Blue Titanium Briefs,Playboy,32138.jpg,1441
54,59435,Arrow Men Black Formal Shoes,Arrow,59435.jpg,1292
55,5891,Puma Men's Stripe Polo Black T-shirt,Puma,5891.jpg,2264
56,38630,Nike Women Purple Polo T-shirt,Nike,38630.jpg,1396
57,4943,Gini and Jony Boy's Kaleb White Brown Kidswear,Gini,4943.jpg,713
58,11188,Carrera Men Dial steel finish strap Silver Watches,Carrera,11188.jpg,589
59,10866,Wrangler Men Motor Rider Red T-Shirts,Wrangler,10866.jpg,2109
60,59607,FNF Pink & Grey Wedding Collection Sari,FNF,59607.jpg,1594
61,15528,Puma Men Scribble Black Tshirts,Puma,15528.jpg,1311
62,45258,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,CASIO,45258.jpg,1571
63,42841,French Connection Women Beige Handbag,French,42841.jpg,1076
64,22198,Timberland Men Black Casual Shoes,Timberland,22198.jpg,1869
65,29570,Vans Men Classic Slip-On Purple & Black Shoes,Vans,29570.jpg,1732
66,43993,Police Women Passion Perfume,Police,43993.jpg,653
67,6628,ADIDAS Men's Lowell White Silver Shoe,ADIDAS,6628.jpg,1030
68,54924,Do U Speak Green Men Blue Shorts,Do,54924.jpg,2244
69,26538,ID Men Red Shoes,ID,26538.jpg,805
70,35913,Peperone Women Black & White Handbag,Peperone,35913.jpg,2420
71,49495,Vans Men Khaki Shoes,Vans,49495.jpg,1254
72,9660,Indigo Nation Men Reversible Bling Pink Shirts,Indigo,9660.jpg,1882
73,2288,Nike Women Black T-shirt,Nike,2288.jpg,2453
74,23876,ADIDAS Men Blue Sweatshirt,ADIDAS,23876.jpg,2445
75,18237,Manchester United Men Solid Red Tshirt,Manchester,18237.jpg,2100
76,54118,Rocia Women Black Flats,Rocia,54118.jpg,2173
77,2872,Catwalk Women Leather Flats,Catwalk,2872.jpg,1026
78,49653,Mineral Women Green Top,Mineral,49653.jpg,753
79,8574,Crocs Dora Boots Pink Sandals,Crocs,8574.jpg,1171
80,16957,Image Men Sunglasses,Image,16957.jpg,1535
81,19123,Lotto Men XL Water Man Silver Slippers,Lotto,19123.jpg,1355
82,13419,United Colors of Benetton Men Solid Pink Polo T-shirts,United,13419.jpg,1118
83,17885,Levis Men Comfort Style Grey Innerwear Vest,Levis,17885.jpg,1505
84,43369,Reebok Men Black Possession Flip Flops,Reebok,43369.jpg,1452
85,48781,Lucera Women Silver Pendant,Lucera,48781.jpg,2256
86,44970,Maxima Men White Dial Analog Chronograph Watch,Maxima,44970.jpg,1503
87,56489,Streetwear Ash Nail Polish # 31,Streetwear,56489.jpg,2037
88,39524,Peter England Unisex Orange Sleeve Bag,Peter,39524.jpg,1090
89,33822,Puma Men Axis White & Grey Sports Shoes,Puma,33822.jpg,509
90,58513,Tonga Women Maroon Top,Tonga,58513.jpg,1377
91,25947,Femella Women Brown Scarf,Femella,25947.jpg,2142
92,52029,Just Natural Unisex Charcoal Rain Jacket,Just,52029.jpg,1498
93,5865,ADIDAS Men's Twelve Faster T-shirt,ADIDAS,5865.jpg,705
94,39716,Arrow Woman Women Blue Dress,Arrow,39716.jpg,2306
95,25349,Levis Men Red Brief,Levis,25349.jpg,2079
96,11940,Ganuchi Men Casual Black Sandals,Ganuchi,11940.jpg,2310
97,55802,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,SDL,55802.jpg,519
98,29584,Indigo Nation Men Printed Black T-shirt,Indigo,29584.jpg,836
99,43967,DKNY Women Red Delicious Perfume,DKNY,43967.jpg,1701
100,28456,Urban Yoga Women Blue Skirt With Leggings,Urban,28456.jpg,2196
101,34009,Gini and Jony Girls Black Top,Gini,34009.jpg,2014
102,19311,Nike Men Air Rift MTR White Casual Shoe,Nike,19311.jpg,705
